mmsi,times,x,y,sog,cog
235068085,2018-01-17 06:26:00,-2293.85878509736,-1651.48613240074,NaN,NaN
235068085,2018-01-17 06:27:00,-2293.85878509736,-1651.48613240074,NaN,NaN
235068085,2018-01-17 06:28:00,-2293.85878509736,-1651.48613240074,NaN,NaN
235068085,2018-01-17 06:29:00,-2293.85878509736,-1651.48613240074,NaN,NaN
235068085,2018-01-17 06:30:00,-2293.85878509736,-1651.48613240074,NaN,NaN
235068085,2018-01-17 06:31:00,-2293.85878509736,-1651.48613240074,NaN,NaN
235068085,2018-01-17 06:32:00,-2293.85878509736,-1651.48613240074,NaN,NaN
235068085,2018-01-17 06:33:00,-2293.85878509736,-1651.48613240074,NaN,NaN
235068085,2018-01-17 06:34:00,-2293.85878509736,-1651.48613240074,NaN,NaN
235068085,2018-01-17 06:35:00,-2293.85878509736,-1651.48613240074,NaN,NaN
235068085,2018-01-17 06:36:00,-2047.36248512033,-1459.01444640528,19.2,38
235068085,2018-01-17 06:37:00,-1594.65021372475,-1102.40128812484,19.1,37.8
235068085,2018-01-17 06:38:00,-1114.51216214929,-732.608667722391,19.2,37
235068085,2018-01-17 06:39:00,-649.59757832471,-364.583531829969,19.3,37.7
235068085,2018-01-17 06:40:00,-170.282844042876,14.7495059725383,19.3,38
235068085,2018-01-17 06:41:00,246.592114252848,418.998972546381,19.2,47.3
235068085,2018-01-17 06:42:00,553.939884554337,914.306785048313,19.1,58.7
235068085,2018-01-17 06:43:00,810.799584535248,1446.78186838897,19.3,65.1
235068085,2018-01-17 06:44:00,1061.72906786231,2007.78369236686,19.5,66
235068085,2018-01-17 06:45:00,1307.9631653434,2594.13207056807,19.6,66
235068085,2018-01-17 06:46:00,1534.40772372965,3115.278666593,19.7,67.3
235068085,2018-01-17 06:47:00,1753.82235828188,3670.83283256211,19.6,68
235068085,2018-01-17 06:48:00,1980.04845345727,4277.49670083724,19.7,70
235068085,2018-01-17 06:49:00,2206.50969156372,4911.77713155271,19.5,69.6
235068085,2018-01-17 06:50:00,2401.3184126933,5455.31203957368,19.4,69.7
235068085,2018-01-17 06:51:00,2581.42315968592,5947.10839996192,19.4,70
235068085,2018-01-17 06:52:00,2811.84586135824,6597.2530890041,19.1,70
235068085,2018-01-17 06:53:00,3013.25326539958,7155.11369101698,19.1,70
235068085,2018-01-17 06:54:00,3205.39341297318,7659.9183922414,19.1,68.2
235068085,2018-01-17 06:55:00,3430.43513988516,8267.52550609741,19,69.1
235068085,2018-01-17 06:56:00,3617.80098260761,8766.60577974662,19.1,69
235068085,2018-01-17 06:57:00,3821.7240852638,9320.2302535932,19.1,69
235068085,2018-01-17 06:58:00,4071.96081658904,9927.71245083458,19,66.9
235068085,2018-01-17 06:59:00,4262.73965044195,10375.062044965,19.1,65
235068085,2018-01-17 07:00:00,4507.21635212638,10893.9737176279,19.1,63.2
235068085,2018-01-17 07:01:00,4814.76527774019,11520.9170284626,19.1,64
235068085,2018-01-17 07:02:00,5022.51609094378,11961.2342908953,19.1,64
235068085,2018-01-17 07:03:00,5282.19672790485,12505.2956620519,19.1,63.7
235068085,2018-01-17 07:04:00,5571.70828552365,13090.86382558,19.4,64
235068085,2018-01-17 07:05:00,5806.42462066148,13584.3934881379,19.2,64
235068085,2018-01-17 07:06:00,6086.90692077818,14186.7234510623,19.1,65
311816000,2018-01-17 06:26:00,122.582106789503,788.981887953753,NaN,NaN
311816000,2018-01-17 06:27:00,220.513814466315,967.558706579774,10.3,59.9
311816000,2018-01-17 06:28:00,378.84107100652,1234.3552561832,10.3,59.2
311816000,2018-01-17 06:29:00,543.20560070272,1516.8948607648,10.4,59.2
311816000,2018-01-17 06:30:00,708.69854668159,1788.26150505962,10.3,59.4
311816000,2018-01-17 06:31:00,877.555085865238,2068.29597671589,10.4,59.5
311816000,2018-01-17 06:32:00,1045.53762101301,2344.23185127484,10.4,59.1
311816000,2018-01-17 06:33:00,1200.8446059687,2622.91023311366,10.4,60.1
311816000,2018-01-17 06:34:00,1354.82774390636,2892.3982666262,10.3,60.3
311816000,2018-01-17 06:35:00,1513.40252384909,3171.69130294606,10.3,60.1
311816000,2018-01-17 06:36:00,1669.20729642905,3445.09177288306,10.2,60.5
311816000,2018-01-17 06:37:00,1823.69627716509,3720.92957869336,10.1,61.1
311816000,2018-01-17 06:38:00,1971.85065107465,3991.35935507366,10,60
311816000,2018-01-17 06:39:00,2127.14336722002,4254.81085169513,9.9,59.4
311816000,2018-01-17 06:40:00,2281.90024479328,4521.77821021217,9.8,60.4
311816000,2018-01-17 06:41:00,2435.88747063512,4782.2549310131,9.7,60.1
311816000,2018-01-17 06:42:00,2579.41090748475,5033.19812931312,9.6,60
311816000,2018-01-17 06:43:00,2734.76321941579,5290.45923553739,9.5,59.3
311816000,2018-01-17 06:44:00,2891.57121534932,5541.52775731504,9.5,58.7
311816000,2018-01-17 06:45:00,3042.26891546195,5792.22618082629,9.5,58.5
311816000,2018-01-17 06:46:00,3192.9820873503,6042.90602741462,9.4,58.3
311816000,2018-01-17 06:47:00,3345.93709385605,6292.90488863278,9.4,58
311816000,2018-01-17 06:48:00,3505.02951960485,6540.83838382921,9.5,56.8
311816000,2018-01-17 06:49:00,3670.8142403922,6785.7462877977,9.4,56.2
311816000,2018-01-17 06:50:00,3841.62400579263,7029.84687761178,9.4,55.9
311816000,2018-01-17 06:51:00,4001.2018722261,7274.90540200539,9.5,56.2
311816000,2018-01-17 06:52:00,4168.02246616065,7513.94195898758,9.5,56.3
311816000,2018-01-17 06:53:00,4324.39733254494,7757.65035662208,9.5,56.5
311816000,2018-01-17 06:54:00,4482.57403699898,8004.0314915152,9.5,56.4
311816000,2018-01-17 06:55:00,4645.66800634401,8251.40157512603,9.6,56.1
311816000,2018-01-17 06:56:00,4818.79703389328,8497.17387371209,9.7,56
311816000,2018-01-17 06:57:00,4990.05011437116,8744.06704113917,9.7,56
311816000,2018-01-17 06:58:00,5156.64666135106,8993.64428510225,9.7,55.9
311816000,2018-01-17 06:59:00,5323.25841936758,9243.14118351913,9.7,55.8
311816000,2018-01-17 07:00:00,5489.33887121015,9496.98971401271,9.7,56.4
311816000,2018-01-17 07:01:00,5653.19403787167,9745.07516363712,9.7,56.4
311816000,2018-01-17 07:02:00,5823.32062449295,10001.0878440968,9.8,56.7
311816000,2018-01-17 07:03:00,5987.89353542471,10256.5543289508,9.8,57.4
311816000,2018-01-17 07:04:00,6156.24665694728,10503.3100213682,9.8,57.1
311816000,2018-01-17 07:05:00,6323.96825603894,10758.2480626446,9.8,57.2
311816000,2018-01-17 07:06:00,6489.13837826346,11010.9571946158,9.8,56.5
